appid,name,overall_similarity,best_community_similarity,best_community
357780,Defend Your Life,0.18517813548895484,0.47190932775338407,12
315940,Top Hat,0.16648845226304507,0.47156418704314146,8
215530,The Incredible Adventures of Van Helsing,0.25347258791489063,0.4714902509594229,11
1303580,Mars Horizon Demo,0.23549836116330267,0.4711465013003185,12
2130000,Tailbound,0.19337454097165777,0.4709810231788741,11
1804010,Labyrinth Of The Demon King,0.21597844693046986,0.47087598594908286,11
207530,Noitu Love 2 Devolution,0.251982506532491,0.47073624452821705,8
3612390,New Yankee: The Way of the Knight,0.19094097613167954,0.4706609858217848,1
894730,The Chronicles of Noah's Ark,0.17668034391352183,0.4704347474872685,8
1290280,Vampire: The Masquerade — Night Road Demo,0.16470919729748507,0.470226972449795,10
1730140,Light,0.20888027997823702,0.47010019299176226,11
598700,The Vagrant,0.20710847379014038,0.4698851056348413,11
741670,Easy Red,0.15145701184242272,0.4695612194482779,12
2427100,Cafe Master Story,0.16849132762709165,0.4691817998673226,12
515230,Cleo's Lost Idols,0.1514353046668002,0.4691560840508215,12
1341200,DYNASTY WARRIORS 9 Empires,0.17464408533326403,0.4688577599150801,9
697960,Cute Monsters Battle Arena,0.15445812169129963,0.4688511199487932,12
233270,Far Cry® 3 Blood Dragon,0.2703148898621227,0.4687802781138556,0
2351120,Ebenezer and The Invisible World,0.1866330068334579,0.4686229208086819,1
17140,Hinterland,0.18979222846659483,0.4684915590074527,11
1199570,Rogue Heroes: Ruins of Tasos Demo,0.19844599065788382,0.46844184506121866,11
787810,Rogue Heroes: Ruins of Tasos,0.19844599065788382,0.46844184506121866,11
2296430,Paleo Pines Demo,0.15662914669330108,0.4680680696225438,10
681240,Dujanah,0.15839771640327205,0.4678129969472303,11
328730,Letter Quest: Grimm's Journey,0.28479722501117744,0.4674384004537856,6
1437850,三国群英传4,0.17668034391352183,0.4673787449751534,9
234270,Ken Follett's The Pillars of the Earth,0.23521603192126495,0.46584451234202123,1
272990,GAUGE,0.17828804846320456,0.465373953828193,8
1163460,Daenerys doesn’t want Hentai,0.18924339058631742,0.4650888614723181,8
520230,TwinForce,0.17784820270366652,0.46490349930102853,8
676570,Crazy Bowling,0.17668034391352183,0.46487919193171295,8
773870,Vector's Adventures,0.17668034391352183,0.46487919193171295,8
1354230,Love Tavern,0.19337454097165777,0.464130196879244,8
3389630,我的时光：大学日记 Demo,0.15445812169129963,0.464125274070936,10
3069040,Little Life: Idyllic Town Tales,0.15445812169129963,0.464125274070936,10
264840,Realms of Arkania: Blade of Destiny - For the Gods DLC,0.13223589946907738,0.46412527407093596,10
1445440,Blacksmith of the Sand Kingdom,0.21029043014256313,0.4640104736673178,9
296830,Lucius II,0.14760273759636003,0.4640082196133559,8
835650,Rising Lords,0.25938698484474026,0.4636395512425866,12
1065100,Golden Treasure: The Great Green,0.17880372423263716,0.46358691296719556,10
2378710,How 2 Escape - Companion App,0.21505038127930703,0.46357662415388207,8
2348680,The Lust City,0.172342729523601,0.4633246385320285,10
773490,RiddleBridge,0.17668034391352183,0.4632955643932376,12
1331090,进击的哥布林,0.17668034391352183,0.4632955643932376,12
304610,Monochroma Demo,0.1301778228253327,0.4630678119719091,11
1097420,No-brainer Heroes,0.13255826947543572,0.4630516374749621,10
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,0.2712036189058363,0.46276832877872087,8
422910,Creeper World Anniversary Edition,0.19456495174582322,0.4619825776108334,12
1120210,Make War,0.16865057309179074,0.46190141634449633,12
359420,The Journeyman Project 1: Pegasus Prime,0.21802361488225896,0.46179383552728115,8
1108830,Synergia Demo,0.13644778204947514,0.46175020215889423,10
1952170,Cafeteria Nipponica,0.1856037981456638,0.461697179103291,12
1098940,Home Sweet Home EP2,0.17668034391352183,0.4616216313768453,6
1136440,HENTAI ARENA HOLY PUSSY,0.18764849537730985,0.4613628750145314,8
1189440,VenusBlood FRONTIER International,0.16741586022581806,0.4613194108890168,9
2855500,Jonesville,0.21597844693046986,0.46124942882422715,12
1428470,Stowaway,0.15445812169129963,0.461243115935207,3
1268870,Deskmate Girl,0.21678717396804542,0.4611900231892686,8
849100,Alaskan Road Truckers,0.19793819752983777,0.46099845526693517,8
2000330,Alaskan Road Truckers Demo,0.19793819752983777,0.46099845526693517,8
245470,Democracy 3,0.24202466794586291,0.4609085181785639,12
435010,Krinkle Krusher,0.19420908647079457,0.46085042856434777,3
864700,Dinosaur Fossil Hunter,0.15692772758299206,0.4607330112106469,8
1161830,Age of Reforging:The Freelands,0.21678717396804542,0.4605687588005205,11
13500,Prince of Persia: Warrior Within,0.22034627617282318,0.4605013635916638,0
1851610,River Tails: Stronger Together,0.208600620828933,0.4601991098748414,8
241600,Rogue Legacy,0.19967593255062585,0.4600630799006842,11
997270,傲皇忆剑诀,0.1860938303753482,0.4600559061945758,12
844330,The Goatman,0.17668034391352183,0.45970678730319575,9
2216130,沉默的蟋蟀,0.16097756655202494,0.4592618313145469,10
1244630,House Builder,0.1573211011269405,0.45860807755195065,8
1440170,House Builder Demo,0.1573211011269405,0.45860807755195065,8
1414000,Obscurite Magie: The City of Sin,0.19087279531401294,0.45860775379688484,10
1802880,The Devil Within: Satgat,0.20235689810883412,0.4584768874030095,11
310080,Hatoful Boyfriend,0.26456304612822445,0.4582422699677667,12
260570,Gray Matter,0.29301250192379924,0.45814166364277426,6
2333720,Draft Day Sports: College Basketball 2023,0.17668034391352183,0.45774000883768207,12
1002000,Spitlings,0.303346317019166,0.45717733993017334,1
880580,YORG.io,0.15551435855266393,0.45693688482193784,12
264560,Quest for Infamy,0.18497145057456893,0.4568497185129756,11
225270,Brütal Legend Soundtrack,0.17668034391352183,0.456718018450051,2
907090,Cursed Armor,0.17668034391352183,0.4567178666635286,10
2583430,Alice in the Nightmare Land,0.1775564752136568,0.4565732792968622,10
1924780,Arzette: The Jewel of Faramore,0.20001030683790752,0.4564803197013945,11
2102490,Basketball Club Story,0.1856037981456638,0.4563941488002606,12
2654470,BUNNY GARDEN,0.2116213817965379,0.45630627092900666,13
682550,ワールド・ネバーランド２～プルト共和国物語～,0.17668034391352183,0.45604446599012793,10
1634080,Nocturnal,0.24811494955865573,0.4548756210723138,8
1160950,Star Alliance,0.15982549523511727,0.45473940711440497,10
1486140,Microcosmum 2,0.20791720082771595,0.4546149161650048,8
1422420,Dodgeball Academia,0.2087591311945552,0.45451063270431974,11
447890,Cat on a Diet,0.21802361488225896,0.45438642811987373,8
598600,Silence in Space - Season One,0.19929431882142118,0.4541060904493972,8
1241910,Victory and Glory: The American Civil War,0.17668034391352183,0.45403630513397836,12
556860,Gladiator School,0.17668034391352183,0.45403630513397836,12
46500,Syberia,0.24462118917994763,0.4539465079941009,0
1433940,Adventure of Bears,0.17668034391352183,0.4537680808206018,8
675910,Visual Out,0.13223589946907738,0.4537680808206018,8
1103400,Codemancer,0.13223589946907738,0.4537680808206018,8
1007810,重明鸟 Bright Bird,0.20263902465936154,0.4537583865498119,10
1233260,FAIRY TAIL,0.16946206499724065,0.4537505086218988,9
354140,Five Nights at Freddy's 3,0.24026609119748932,0.4537307816556432,12
776490,永遠消失的幻想鄉 ～ The Disappearing of Gensokyo,0.19020501279014193,0.45324052053307073,11
1218360,Luna : The Dimemsion Watcher,0.13223589946907738,0.45297810407577727,12
506540,Last Man Standing,0.1433470105801885,0.45250145501963307,3
1232060,CHAT CHAMPIONS,0.21597844693046986,0.452218618343266,8
584640,SUPER CHICKEN JUMPER,0.21029043014256313,0.45212774891767094,8
1126310,风信楼,0.11902468055202835,0.4521164878619506,10
107310,Cthulhu Saves the World ,0.2943353937218129,0.4521054322010238,10
950700,VICCP,0.15484987437697675,0.45198968833299513,8
2719190,撩妹模拟器：渣男的秘密,0.19420908647079457,0.4519266679563124,8
912910,Nanoui Demo,0.17668034391352183,0.4516516787041997,8
3130500,Jitter Demo,0.17668034391352183,0.4516516787041997,8
2793960,Freaked Fleapit Demo,0.17668034391352183,0.4516516787041997,8
1012560,Snakeybus,0.18041680243713934,0.4515632715061252,3
1934080,浮生箓2：九九行歌,0.18764849537730985,0.4515393804764663,10
879050,Drakkar Crew,0.18036885246126175,0.45153843908531394,11
1153640,Chorus,0.3132028107792227,0.4515378821096053,3
1069820,Fog of War: The Battle for Cerberus,0.15885722100036084,0.45153547299916297,10
1540210,Arizona Sunshine® 2,0.29402500347606436,0.4514955471735898,8
2977520,Big Helmet Heroes Demo,0.18667256476291463,0.45149394878324084,1
2353760,Landfall Archives,0.15445812169129963,0.4513908024884757,12
1990050,Creature Creator,0.16584598569811873,0.4510103806252063,10
2232840,Garten of Banban,0.15445812169129963,0.45075409947075995,4
1746930,SunnySide,0.20263902465936154,0.45067351681877243,10
1206930,Malediction,0.15445812169129963,0.45059347764599866,8
988340,Mad Hunting Simulator VR,0.17668034391352183,0.4505934776459986,8
2251620,Sunrider 4: The Captain's Return,0.209599271350723,0.4502915449090089,11
849970,Forgotten Realm RPG,0.14479894614187303,0.4499970116905964,10
1224290,Horizon's Gate,0.20586031793133802,0.449688826210694,11
416210,Block'hood,0.28314745923053897,0.44940184292620355,12
370440,No70: Eye of Basir,0.16879729594866097,0.4493631444231596,11
340460,Spartans Vs Zombies Defense,0.1432040509328654,0.4492342910869391,12
2354000,Slackers - Carts of Glory,0.20263902465936154,0.44920851707801146,12
705150,Rhythm World - Master Project,0.15659492656110066,0.4491916861807269,12
555970,Awaken,0.17668034391352183,0.4490061760586971,8
784050,Filthy Hands,0.17668034391352183,0.4490061760586971,8
1816390,Rebirth evolution,0.17244493341577935,0.4489119209251059,12
1897650,Dream Tactics,0.1707918389047048,0.44890657448042476,11
50620,Darksiders,0.25652997311091325,0.4488187397985532,0
994140,Lightmatter,0.3193465102085164,0.44868239846387387,6
513210,Rescue Bear Operation,0.17198686424857237,0.4482229642526087,8
233980,Unepic,0.22297183668805445,0.44820930339531695,11
1580520,Lost Eidolons,0.31355613836314644,0.44786473470330224,10
1661260,Animal Shelter: Prologue,0.15445812169129963,0.4477010224829062,12
330620,It's A Wipe!,0.21400974848551124,0.4475829531261635,12
694500,Army Men RTS,0.22959363577614186,0.4473661294658904,11
1099220,The Alien Cube,0.2483895814747464,0.44722875907909454,1
437430,Valhalla Hills: Sand of the Damned DLC,0.11155549380421904,0.4470603416120612,12
400940,Budget Cuts,0.21802361488225896,0.44697902071246637,8
1051200,Trover Saves the Universe,0.21597844693046986,0.44689922409702093,5
1038810,GOD WARS The Complete Legend,0.20846151537529137,0.44684441937912195,9
391180,Ladra,0.21029043014256313,0.44683674362666564,8
1996770,Turok 3: Shadow of Oblivion,0.3130719219520995,0.4468250300085376,1
1490410,The fairy tale you don't know,0.1775564752136568,0.4468103350157053,3
713160,After Death,0.20263902465936154,0.44673941519308835,8
761170,Radical Dungeon Sweeper,0.2116213817965379,0.44663682134090776,12
928690,覇県を握れ ～47都道府県大戦～,0.17668034391352183,0.44662889772657094,12
1983990,Nexus 5X,0.25528731405583927,0.44650030513341826,9
275670,Space Run,0.28130429884979297,0.4463267069359923,1
22450,Hunted: The Demon's Forge,0.18683744872360283,0.44626042617749384,11
633060,Orwell: Ignorance is Strength,0.24168156761190082,0.4461995793039368,4
1074190,Dragon Spirits 龙魂：学院奇闻,0.18924339058631742,0.44619734145595735,11
2151580,Infinite Tao,0.21597844693046986,0.4461478859567441,8
1629830,Research Story,0.20671396324276609,0.4461105584278354,10
557340,My Friend Pedro,0.2732137031253399,0.44580046378063676,8
530620,Resident Evil 7 Teaser: Beginning Hour,0.19812405395060098,0.44568654877684905,0
1767750,Wild Life Demo,0.17668034391352183,0.44559008679836526,11
1974520,Dusk Pub - Adult Only,0.18284759023699143,0.4449639426320717,10
1641700,Moving Out 2,0.18571345982270684,0.4443692993809482,8
743230,Baseball Mogul 2018,0.19590145628686711,0.44430580122746494,12
745740,Reflex,0.1633258389400611,0.4442680797610497,8
2678990,Minami Lane,0.15369142957902884,0.4442597886178772,12
828070,Treasure Hunter Claire,0.17668034391352183,0.4442422331352635,10
2180700,ABI-DOS,0.18517813548895484,0.44361637314463986,12
732370,Juicy Realm,0.19621986197316257,0.4433710949127339,8
666620,Behind These Eyes,0.15445812169129963,0.44325987935306826,11
1478970,AI Olympius,0.1975993840783818,0.44325921576233457,11
411320,"Codename: Panzers, Phase Two",0.24271802284478722,0.4431595298501861,9
581520,Sakura Magical Girls,0.19929431882142118,0.4429285705668746,10
533890,ReBoot,0.1591970174348672,0.4429104407964009,8
348540,Divine Slice of Life,0.16858371901596275,0.44288325276762003,8
461950,Beat Cop,0.26862747750765503,0.4426925808336937,6
736570,The Crooked Man,0.21597844693046986,0.44268739675538715,13
560570,Breaking Bones,0.1433470105801885,0.44265696970949076,8
258470,Tetrobot & Co. Original Soundtrack,0.1433470105801885,0.44265696970949076,8
2820,X3: Terran Conflict,0.2661884262483078,0.44259243571125867,9
2084720,Home Run High,0.1856037981456638,0.44250525991137174,12
454350,Days of War,0.1370414033997902,0.44245742031977375,11
3323000,Mahjong,0.17668034391352183,0.4423946234878883,13
3509620,Wildcard Playtest,0.1433470105801885,0.4419194444376225,3
102600,Orcs Must Die!,0.25077440604944173,0.441888384015844,11
573730,Northern Tale 3,0.17668034391352183,0.4418669929646662,12
666610,Endless ATC,0.19087279531401294,0.4415930697203603,12
2051430,Deadlink Demo,0.23627972917099407,0.4410353349857369,8
810040,Swords 'n Magic and Stuff,0.19042434568109168,0.4408195517294362,10
257170,Rebuild 3: Gangs of Deadsville,0.30259225597022704,0.4407926550052607,9
