appid,community_id,cosine_similarity
2473640,12,0.007018371071896288
2473640,13,0.007278898524821505
672150,0,0.0
672150,1,0.00019460807689985877
672150,2,0.0
672150,3,0.0
672150,4,0.0
672150,5,0.0
672150,6,0.0
672150,7,0.0
672150,8,0.0
672150,9,0.0
672150,10,0.0001502656059615387
672150,11,0.00019262331976183843
672150,12,0.0
672150,13,0.0
1040460,0,0.0
1040460,1,0.0017622438328954546
1040460,2,0.0
1040460,3,0.0
1040460,4,0.0
1040460,5,0.0
1040460,6,0.0
1040460,7,0.0
1040460,8,0.0
1040460,9,0.0
1040460,10,0.001360707333531089
1040460,11,0.0017442711665910061
1040460,12,0.0
1040460,13,0.0
1649010,0,0.002143627391204419
1649010,1,0.002329609213580195
1649010,2,0.002175696984675877
1649010,3,0.0022601790975114978
1649010,4,0.002255616873047008
1649010,5,0.002194846296208383
1649010,6,0.002170944157523908
1649010,7,0.002203847999313106
1649010,8,0.0027453131845248655
1649010,9,0.0
1649010,10,0.003914019852720078
1649010,11,0.0023058501353902874
1649010,12,0.0023238093569023675
1649010,13,0.002240810841793609
716390,0,0.0
716390,1,0.0
716390,2,0.0
716390,3,0.0
716390,4,0.0
716390,5,0.0
716390,6,0.0
716390,7,0.0
716390,8,0.0
716390,9,0.0
716390,10,0.0
716390,11,0.0
716390,12,0.0
716390,13,0.0
1089790,0,0.0016518391861901434
1089790,1,0.0017053984132038452
1089790,2,0.0016442162108090271
1089790,3,0.001636663582749309
1089790,4,0.0016299907804435524
1089790,5,0.0016359832964617644
1089790,6,0.0017083259542346567
1089790,7,0.0016871001925628007
1089790,8,0.0009467848040933903
1089790,9,0.0
1089790,10,0.002156414522496076
1089790,11,0.0017343146191933767
1089790,12,0.0016364870991459547
1089790,13,0.0016958542637575105
491100,0,0.03150839774838434
491100,1,0.034242076771814255
491100,2,0.031979777014610244
491100,3,0.03322154880049557
491100,4,0.03315449032585844
491100,5,0.03226124576559262
491100,6,0.03190991694053766
491100,7,0.03239355851873258
491100,8,0.04035235793161421
491100,9,0.0
491100,10,0.05753075129595437
491100,11,0.033892850740828546
491100,12,0.0341568267923456
491100,13,0.03293686186872952
130,0,0.0022166369921455364
130,1,0.002408953151677887
130,2,0.0022497988408434868
130,3,0.002337158321905553
130,4,0.002332440713072996
130,5,0.0022696003569517608
130,6,0.0022448841376046884
130,7,0.002278908648204295
130,8,0.0028388155445352647
130,9,0.0
130,10,0.004047327081716693
130,11,0.0023843848653091275
130,12,0.002402955758234434
130,13,0.002317130404612761
496450,0,0.0
496450,1,0.0020759919657011992
496450,2,0.0
496450,3,0.0
496450,4,0.0
496450,5,0.0
496450,6,0.0
496450,7,0.0
496450,8,0.0
496450,9,0.0
496450,10,0.0016029663088336233
496450,11,0.00205481946382956
496450,12,0.0
496450,13,0.0
1135260,0,0.01000137126495822
1135260,1,0.002955535272016621
1135260,2,0.009919879222235977
1135260,3,0.009983569773677353
1135260,4,0.009899196457937343
1135260,5,0.010027598760127395
1135260,6,0.010116289805995972
1135260,7,0.010020935965001278
1135260,8,0.0033532039673568634
1135260,9,0.0
1135260,10,0.010149992944762664
1135260,11,0.009275171201243786
