node_id,community_id,community_size
921700,18,120
700940,18,120
980950,18,120
2447060,18,120
745960,18,120
1637070,18,120
2417990,18,120
1018420,18,120
1857020,18,120
1999740,18,120
914750,18,120
673740,18,120
995310,18,120
37510,18,120
1170320,18,120
992050,18,120
2517200,18,120
2647060,18,120
334540,18,120
825450,18,120
2788310,18,120
789490,18,120
1863750,18,120
3643400,18,120
451930,18,120
624560,18,120
816650,18,120
1647440,18,120
815940,18,120
2121360,18,120
489580,18,120
1048270,18,120
80980,19,15
99300,19,15
448850,19,15
2055290,19,15
289690,19,15
1067720,19,15
1486440,19,15
707300,19,15
1485590,19,15
704910,19,15
98400,19,15
246580,19,15
1718160,19,15
318220,19,15
1307690,19,15
542820,20,98
392330,20,98
974600,20,98
2456940,20,98
3313700,20,98
2281860,20,98
1098250,20,98
286360,20,98
2021480,20,98
1510,20,98
439490,20,98
1331090,20,98
270170,20,98
2354000,20,98
689980,20,98
1527890,20,98
1281080,20,98
1371660,20,98
446240,20,98
1169490,20,98
2157340,20,98
1151130,20,98
252110,20,98
777760,20,98
353850,20,98
961640,20,98
820520,20,98
1256380,20,98
2308630,20,98
918430,20,98
248970,20,98
286240,20,98
940850,20,98
1264880,20,98
1079970,20,98
3630390,20,98
1322540,20,98
878250,20,98
959030,20,98
1919460,20,98
2882400,20,98
1972050,20,98
714070,20,98
1729140,20,98
1127690,20,98
2386580,20,98
1807330,20,98
556050,20,98
491700,20,98
634700,20,98
433910,20,98
1044640,20,98
2661160,20,98
1051690,20,98
792650,20,98
2258510,20,98
1979410,20,98
2622440,20,98
862110,20,98
893870,20,98
387970,20,98
1660370,20,98
2628570,20,98
1569090,20,98
2994990,20,98
550340,20,98
1333900,20,98
1889740,20,98
485230,20,98
416870,20,98
3026410,20,98
1108190,20,98
1045580,20,98
1370410,20,98
1071350,20,98
1431230,20,98
495890,20,98
1291790,20,98
2827610,20,98
3399400,20,98
1725860,20,98
387130,20,98
1362560,20,98
1022840,20,98
972430,20,98
3142400,20,98
1985960,20,98
914950,20,98
2205330,20,98
2572300,20,98
821570,20,98
241700,20,98
1540,20,98
2529250,20,98
3160290,20,98
3409750,20,98
424200,20,98
2521630,20,98
936780,21,119
2078040,21,119
1691320,21,119
790300,21,119
214790,21,119
726710,21,119
623550,21,119
2294130,21,119
1655460,21,119
985870,21,119
1148650,21,119
723790,21,119
506480,21,119
1379670,21,119
740080,21,119
860860,21,119
734980,21,119
1018020,21,119
1302110,21,119
1219590,21,119
2964010,21,119
275670,21,119
2658820,21,119
355800,21,119
206500,21,119
45200,21,119
650510,21,119
1119580,21,119
342610,21,119
1072310,21,119
2564320,21,119
1972820,21,119
1900340,21,119
2954780,21,119
1839930,21,119
231140,21,119
1733250,21,119
866440,21,119
499610,21,119
306410,21,119
2006090,21,119
1010750,21,119
360380,21,119
2478730,21,119
1552550,21,119
2441270,21,119
247430,21,119
1449750,21,119
1093370,21,119
1525890,21,119
893390,21,119
2131680,21,119
1630960,21,119
313140,21,119
2321210,21,119
2942150,21,119
2169220,21,119
1092040,21,119
705100,21,119
2354570,21,119
222500,21,119
1684010,21,119
3008050,21,119
512470,21,119
741590,21,119
346330,21,119
1044770,21,119
942200,21,119
1780270,21,119
2495750,21,119
1913740,21,119
1147940,21,119
2088250,21,119
322290,21,119
3298460,21,119
791960,21,119
2558580,21,119
2808570,21,119
797410,21,119
503390,21,119
3274030,21,119
1981250,21,119
308460,21,119
604940,21,119
429040,21,119
426630,21,119
533780,21,119
881930,21,119
1018010,21,119
473140,21,119
706990,21,119
1383630,21,119
1978330,21,119
1641240,21,119
235800,21,119
1716940,21,119
2195840,21,119
1140070,21,119
1804170,21,119
282530,21,119
1844720,21,119
2669380,21,119
2146450,21,119
1310350,21,119
839820,21,119
1112690,21,119
2223700,21,119
497880,21,119
595640,21,119
3512680,21,119
3464570,21,119
2099220,21,119
1569820,21,119
1512830,21,119
3077790,21,119
1323470,21,119
976720,21,119
570840,21,119
1155590,21,119
395250,22,163
1882820,22,163
1292910,22,163
606950,22,163
1035660,22,163
1909770,22,163
2430380,22,163
738350,22,163
421710,22,163
863810,22,163
534350,22,163
1823380,22,163
1034260,22,163
1918970,22,163
378370,22,163
381170,22,163
2099680,22,163
692590,22,163
348860,22,163
2162680,22,163
3587580,22,163
3559900,22,163
2430360,22,163
920200,22,163
1034240,22,163
3262320,22,163
2615130,22,163
2353730,22,163
768590,22,163
2090370,22,163
985680,22,163
267900,22,163
812410,22,163
70300,22,163
689910,22,163
2523310,22,163
1283930,22,163
298240,22,163
2621890,22,163
1039830,22,163
751430,22,163
1299370,22,163
2000800,22,163
1002930,22,163
2178010,22,163
523720,22,163
2342030,22,163
2094070,22,163
1743260,22,163
380020,22,163
263300,22,163
2810780,22,163
2678160,22,163
314030,22,163
1814170,22,163
358360,22,163
922500,22,163
705250,22,163
1014040,22,163
2670770,22,163
1390880,22,163
3383700,22,163
1991860,22,163
867980,22,163
1075200,22,163
3177970,22,163
894060,22,163
523210,22,163
1878910,22,163
485980,22,163
1087720,22,163
805930,22,163
547930,22,163
2206560,22,163
991170,22,163
1233170,22,163
102850,22,163
2957110,22,163
2898250,22,163
508200,22,163
1332760,22,163
3067770,22,163
1531610,22,163
1801490,22,163
2138570,22,163
1165380,22,163
664440,22,163
1418200,22,163
3653260,22,163
1987480,22,163
508900,22,163
850980,22,163
427980,22,163
411370,22,163
1622770,22,163
3290350,22,163
551540,22,163
2391400,22,163
916380,22,163
785780,22,163
3468160,22,163
238050,22,163
3237950,22,163
1818010,22,163
2430370,22,163
1880710,22,163
2564660,22,163
1154360,22,163
2785570,22,163
852220,22,163
617670,22,163
2880730,22,163
920450,22,163
2083800,22,163
754840,22,163
687470,22,163
2829820,22,163
1929870,22,163
566160,22,163
1218900,22,163
1358810,22,163
782660,22,163
1200,22,163
432870,22,163
1991850,22,163
686200,22,163
536560,22,163
3205070,22,163
944010,22,163
1563700,22,163
651340,22,163
890070,22,163
601220,22,163
1210110,22,163
3107800,22,163
320440,22,163
823800,22,163
757330,22,163
2733530,22,163
678520,22,163
3308550,22,163
2591010,22,163
288370,22,163
