appid,best_community_idx,best_community_id,similarity
919370,27,27,0.6196121573448181
876140,2,2,0.6195762753486633
2296400,23,23,0.6192260980606079
773490,7,7,0.6189237236976624
655290,2,2,0.6188128590583801
595080,2,2,0.6185570955276489
566190,23,23,0.6184863448143005
1020470,2,2,0.6181604862213135
849100,2,2,0.6163614392280579
555950,23,23,0.6160215139389038
399520,2,2,0.6159892082214355
690260,7,7,0.6151959300041199
697960,7,7,0.6144151091575623
544650,2,2,0.6142083406448364
857480,2,2,0.6140323281288147
606890,7,7,0.6138241291046143
674170,2,2,0.6136916279792786
1097130,2,2,0.6132745742797852
1140890,27,27,0.6132611036300659
270110,9,9,0.6132528781890869
622200,27,27,0.6121425032615662
733950,36,36,0.611930787563324
998790,11,11,0.6118616461753845
809950,2,2,0.6118447780609131
1196390,2,2,0.6115313768386841
554560,2,2,0.6115313768386841
1365900,2,2,0.6109285950660706
724030,2,2,0.6109259724617004
1367510,2,2,0.6109039187431335
457580,2,2,0.6104305386543274
325210,23,23,0.610230028629303
532170,2,2,0.6100694537162781
382560,2,2,0.6099088191986084
908310,2,2,0.6098719835281372
1336040,2,2,0.6095893383026123
1933980,11,11,0.609307050704956
945590,2,2,0.6089286804199219
236010,2,2,0.607705295085907
284730,23,23,0.6075875163078308
525300,23,23,0.6073521375656128
1239690,2,2,0.6068175435066223
741670,21,21,0.606660008430481
596030,23,23,0.6066213250160217
714160,21,21,0.6064013838768005
1878970,2,2,0.6062369346618652
605180,2,2,0.6051473021507263
2572560,2,2,0.6050873398780823
2159670,11,11,0.6049866676330566
264840,36,36,0.6049343347549438
1816950,2,2,0.6043493747711182
915490,7,7,0.6043084263801575
519160,2,2,0.6038762927055359
2881800,11,11,0.6038674712181091
1286880,2,2,0.6036472916603088
3320800,2,2,0.6035420298576355
949480,23,23,0.6033096313476562
276360,2,2,0.603132963180542
2191490,11,11,0.6031323671340942
921520,9,9,0.6027112603187561
416060,2,2,0.6025416851043701
395900,2,2,0.6025217175483704
2102490,11,11,0.6024560332298279
696160,11,11,0.6023080945014954
328730,2,2,0.6021263599395752
2255190,2,2,0.6017187833786011
766150,7,7,0.6016318798065186
1451720,2,2,0.6014481782913208
1164850,2,2,0.6011838316917419
1116290,2,2,0.6004530191421509
1286330,36,36,0.6003667116165161
805420,2,2,0.60001140832901
1337890,36,36,0.5998011827468872
1073770,36,36,0.5996851921081543
204860,32,32,0.5994486808776855
871510,2,2,0.5991273522377014
1030360,2,2,0.5991166234016418
696920,27,27,0.5984745621681213
425940,2,2,0.598366379737854
1274600,2,2,0.5980446338653564
1163460,27,27,0.5978623032569885
3103820,36,36,0.5975731015205383
406120,2,2,0.5972299575805664
262230,11,11,0.5972058773040771
682550,36,36,0.5970859527587891
1457620,5,5,0.5968931317329407
568830,7,7,0.596522331237793
2260930,2,2,0.5964944958686829
513620,23,23,0.5963298678398132
3391500,36,36,0.5961870551109314
2776940,27,27,0.5960657596588135
776490,27,27,0.5956361293792725
763090,7,7,0.5951575636863708
396060,2,2,0.5948792099952698
395860,2,2,0.5948336720466614
357780,7,7,0.5947939157485962
540860,23,23,0.5946366786956787
880580,23,23,0.5945483446121216
965890,2,2,0.5944217443466187
2085040,2,2,0.5941824913024902
630870,2,2,0.593784749507904
2579840,2,2,0.5934264063835144
328790,21,21,0.5931406617164612
635390,2,2,0.5930758118629456
2590810,21,21,0.5928522348403931
326380,2,2,0.5928125977516174
2856370,7,7,0.5925492644309998
1141550,2,2,0.5921034216880798
1098280,2,2,0.5919842720031738
386930,2,2,0.5917863249778748
1984020,27,27,0.5917109847068787
844850,27,27,0.5915441513061523
598700,27,27,0.5913844704627991
347600,27,27,0.5913472771644592
702110,23,23,0.5909522175788879
340580,2,2,0.5909318327903748
457860,2,2,0.5909082293510437
1024630,2,2,0.5908792614936829
436910,2,2,0.590707540512085
